,type_property,type_subproperty,price,locality,netHabitableSurface,nr_bedrooms,kitchen_installed,nr_facades,hasGarden,garden_m2,hasTerrace,terrace_m2,furnished_YN,swimpool_YN,type_of_sale,land,basement,building,fireplaceExist
8003338,COMMERCIAL,BUSINESS,435000,3290,0,0,False,0,False,0,False,0,False,False,,0,0,Not specified,False
8007111,COMMERCIAL,BUSINESS,1200000,9900,653,0,False,0,False,0,False,0,False,False,,0,653,,False
8789255,INDUSTRY,MIXED_USE_BUILDING_INDUSTRIES,279000,2940,0,0,False,0,False,0,False,0,False,False,,0,0,,False
8599173,OFFICE,MIXED_USE_BUILDING_OFFICES,380000,4140,0,0,False,0,False,0,False,0,False,False,isNewlyBuilt,0,0,AS_NEW,False
8918596,HOUSE,MIXED_USE_BUILDING,60000,7012,145,3,False,0,False,0,False,0,False,False,,250,250,Not specified,False
8915983,HOUSE,MIXED_USE_BUILDING,210000,6200,200,0,False,0,False,0,False,0,False,False,,200,200,Not specified,False
8782954,OFFICE,OFFICES,197000,5000,193,0,False,0,False,0,False,0,False,False,,0,193,GOOD,False
8915126,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,179900,4000,120,0,False,0,False,0,False,0,False,False,,0,120,,False
8690907,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,150000,6000,240,0,False,0,False,0,False,0,False,False,isUnderOption,0,240,TO_RENOVATE,False
8705174,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,399500,6044,1000,0,False,0,False,0,False,0,False,False,,0,1000,GOOD,False
8685614,COMMERCIAL,COMMERCIAL_PREMISES,1550000,9041,0,0,False,0,False,0,False,0,False,False,,0,0,Not specified,False
8702173,HOUSE,HOUSE,170000,7370,0,2,False,0,False,0,False,0,False,False,,0,0,GOOD,False
8702016,HOUSE,MIXED_USE_BUILDING,400000,7012,0,1,False,0,False,0,True,0,False,False,,638,638,GOOD,False
8592215,HOUSE,MIXED_USE_BUILDING,150000,6140,260,0,False,0,False,0,False,0,False,False,,180,180,Not specified,False
8808463,HOUSE,APARTMENT_BLOCK,175000,6041,0,0,False,0,False,0,False,0,False,False,isUnderOption,0,0,TO_RESTORE,False
